"GEO_ID","NAME","B19001_001E","B19001_001EA","B19001_001M","B19001_001MA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003M","B19001_003MA","B19001_003EA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008M","B19001_008MA","B19001_008EA","B19001_009E","B19001_009EA","B19001_009M","B19001_009MA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011M","B19001_011MA","B19001_011EA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017M","B19001_017MA","B19001_017EA",
"1500000US130059702023","Block Group 3, Census Tract 9702.02, Bacon County, Georgia","457","null","113","null","35","null","33","null","68","52","null","null","0","null","14","null","76","null","64","null","68","null","71","null","9","null","14","null","7","11","null","null","8","null","12","null","6","null","13","null","34","35","null","null","65","null","46","null","57","null","57","null","16","null","19","null","8","null","12","null","0","null","14","null","0","14","null","null",
"1500000US130059702024","Block Group 4, Census Tract 9702.02, Bacon County, Georgia","374","null","111","null","93","null","77","null","28","32","null","null","14","null","20","null","11","null","19","null","48","null","48","null","0","null","14","null","6","9","null","null","8","null","13","null","0","null","14","null","45","78","null","null","23","null","25","null","29","null","35","null","21","null","23","null","18","null","28","null","30","null","38","null","0","14","null","null",
"1500000US130079601001","Block Group 1, Census Tract 9601, Baker County, Georgia","463","null","88","null","77","null","40","null","17","18","null","null","58","null","44","null","30","null","29","null","41","null","29","null","5","null","9","null","8","13","null","null","36","null","37","null","26","null","25","null","8","11","null","null","61","null","32","null","23","null","22","null","21","null","22","null","30","null","29","null","22","null","30","null","0","14","null","null",
"1500000US130079601002","Block Group 2, Census Tract 9601, Baker County, Georgia","320","null","92","null","88","null","81","null","28","34","null","null","5","null","9","null","0","null","14","null","19","null","20","null","4","null","8","null","0","14","null","null","3","null","6","null","11","null","16","null","8","8","null","null","80","null","65","null","13","null","19","null","11","null","24","null","0","null","14","null","50","null","47","null","0","14","null","null",
"1500000US130079602001","Block Group 1, Census Tract 9602, Baker County, Georgia","211","null","75","null","15","null","22","null","0","14","null","null","8","null","13","null","57","null","69","null","0","null","14","null","23","null","29","null","10","13","null","null","10","null","12","null","20","null","31","null","14","16","null","null","0","null","14","null","11","null","13","null","30","null","46","null","0","null","14","null","9","null","12","null","4","6","null","null",
"1500000US130079602002","Block Group 2, Census Tract 9602, Baker County, Georgia","207","null","70","null","25","null","30","null","14","20","null","null","5","null","9","null","28","null","31","null","50","null","47","null","13","null","14","null","0","14","null","null","11","null","15","null","0","null","14","null","8","14","null","null","18","null","25","null","12","null","13","null","6","null","9","null","13","null","23","null","4","null","8","null","0","14","null","null",
"1500000US130099701011","Block Group 1, Census Tract 9701.01, Baldwin County, Georgia","479","null","134","null","0","null","14","null","0","14","null","null","0","null","14","null","24","null","39","null","16","null","27","null","11","null","19","null","15","27","null","null","0","null","14","null","22","null","28","null","31","40","null","null","87","null","67","null","94","null","93","null","143","null","109","null","0","null","14","null","36","null","34","null","0","14","null","null",
"1500000US130099701012","Block Group 2, Census Tract 9701.01, Baldwin County, Georgia","189","null","120","null","0","null","14","null","11","20","null","null","0","null","14","null","0","null","14","null","0","null","14","null","0","null","14","null","0","14","null","null","0","null","14","null","0","null","14","null","0","14","null","null","38","null","40","null","140","null","125","null","0","null","14","null","0","null","14","null","0","null","14","null","0","14","null","null",
"1500000US130099701021","Block Group 1, Census Tract 9701.02, Baldwin County, Georgia","497","null","179","null","0","null","14","null","47","70","null","null","0","null","14","null","13","null","23","null","0","null","14","null","21","null","35","null","25","37","null","null","44","null","48","null","19","null","30","null","162","158","null","null","72","null","74","null","50","null","44","null","0","null","14","null","0","null","14","null","44","null","63","null","0","14","null","null",
"1500000US130099701022","Block Group 2, Census Tract 9701.02, Baldwin County, Georgia","275","null","119","null","0","null","14","null","6","19","null","null","14","null","23","null","30","null","57","null","0","null","14","null","13","null","20","null","0","14","null","null","0","null","14","null","0","null","14","null","18","32","null","null","0","null","14","null","35","null","50","null","10","null","19","null","19","null","42","null","90","null","85","null","40","56","null","null",
"1500000US130099701023","Block Group 3, Census Tract 9701.02, Baldwin County, Georgia","719","null","192","null","154","null","115","null","0","14","null","null","0","null","14","null","0","null","14","null","0","null","14","null","44","null","73","null","0","14","null","null","6","null","16","null","26","null","51","null","130","149","null","null","0","null","14","null","64","null","63","null","215","null","170","null","49","null","61","null","10","null","29","null","21","31","null","null",
"1500000US130099702011","Block Group 1, Census Tract 9702.01, Baldwin County, Georgia","92","null","75","null","0","null","14","null","0","14","null","null","8","null","15","null","13","null","23","null","0","null","14","null","0","null","14","null","0","14","null","null","14","null","23","null","0","null","14","null","0","14","null","null","14","null","24","null","43","null","62","null","0","null","14","null","0","null","14","null","0","null","14","null","0","14","null","null",
